ensembl_gene_id_version	ensembl_gene_id	external_gene_name
ENSG00000147813.16	ENSG00000147813	NAPRT
ENSG00000147852.17	ENSG00000147852	VLDLR
ENSG00000147853.17	ENSG00000147853	AK3
ENSG00000147854.17	ENSG00000147854	UHRF2
ENSG00000147862.18	ENSG00000147862	NFIB
ENSG00000147869.5	ENSG00000147869	CER1
ENSG00000147872.10	ENSG00000147872	PLIN2
ENSG00000147873.6	ENSG00000147873	IFNA5
ENSG00000147874.11	ENSG00000147874	HAUS6
ENSG00000147883.12	ENSG00000147883	CDKN2B
ENSG00000147885.4	ENSG00000147885	IFNA16
ENSG00000147889.18	ENSG00000147889	CDKN2A
ENSG00000147894.17	ENSG00000147894	C9orf72
ENSG00000147896.4	ENSG00000147896	IFNK
ENSG00000147905.18	ENSG00000147905	ZCCHC7
ENSG00000147912.13	ENSG00000147912	FBXO10
ENSG00000147955.18	ENSG00000147955	SIGMAR1
ENSG00000147996.17	ENSG00000147996	ZNG1E
ENSG00000148019.14	ENSG00000148019	CEP78
ENSG00000148053.18	ENSG00000148053	NTRK2
ENSG00000148057.16	ENSG00000148057	IDNK
ENSG00000148082.10	ENSG00000148082	SHC3
ENSG00000148090.12	ENSG00000148090	AUH
ENSG00000148110.17	ENSG00000148110	MFSD14B
ENSG00000148120.18	ENSG00000148120	AOPEP
ENSG00000148123.15	ENSG00000148123	PLPPR1
ENSG00000148136.5	ENSG00000148136	OR13C4
ENSG00000148143.13	ENSG00000148143	ZNF462
ENSG00000148153.14	ENSG00000148153	INIP
ENSG00000148154.10	ENSG00000148154	UGCG
ENSG00000148156.8	ENSG00000148156	ACTL7B
ENSG00000148158.17	ENSG00000148158	SNX30
ENSG00000148175.13	ENSG00000148175	STOM
ENSG00000148180.22	ENSG00000148180	GSN
ENSG00000148187.18	ENSG00000148187	MRRF
ENSG00000148200.17	ENSG00000148200	NR6A1
ENSG00000148204.12	ENSG00000148204	CRB2
ENSG00000148215.4	ENSG00000148215	OR5C1
ENSG00000148218.16	ENSG00000148218	ALAD
ENSG00000148219.18	ENSG00000148219	ASTN2
ENSG00000148225.16	ENSG00000148225	WDR31
ENSG00000148229.13	ENSG00000148229	POLE3
ENSG00000148248.14	ENSG00000148248	SURF4
ENSG00000148288.13	ENSG00000148288	GBGT1
ENSG00000148290.10	ENSG00000148290	SURF1
ENSG00000148291.10	ENSG00000148291	SURF2
ENSG00000148296.7	ENSG00000148296	SURF6
ENSG00000148297.16	ENSG00000148297	MED22
ENSG00000148300.12	ENSG00000148300	REXO4
ENSG00000148303.17	ENSG00000148303	RPL7A
ENSG00000148308.18	ENSG00000148308	GTF3C5
ENSG00000148331.12	ENSG00000148331	ASB6
ENSG00000148334.16	ENSG00000148334	PTGES2
ENSG00000148335.15	ENSG00000148335	NTMT1
ENSG00000148337.22	ENSG00000148337	CIZ1
ENSG00000148339.13	ENSG00000148339	SLC25A25
ENSG00000148341.18	ENSG00000148341	SH3GLB2
ENSG00000148343.19	ENSG00000148343	MIGA2
ENSG00000148344.11	ENSG00000148344	PTGES
ENSG00000148346.12	ENSG00000148346	LCN2
ENSG00000148356.15	ENSG00000148356	LRSAM1
ENSG00000148357.18	ENSG00000148357	HMCN2
ENSG00000148358.20	ENSG00000148358	GPR107
ENSG00000148362.11	ENSG00000148362	PAXX
ENSG00000148377.6	ENSG00000148377	IDI2
ENSG00000148384.14	ENSG00000148384	INPP5E
ENSG00000148386.10	ENSG00000148386	LCN9
ENSG00000148396.19	ENSG00000148396	SEC16A
ENSG00000148399.13	ENSG00000148399	DPH7
ENSG00000148400.13	ENSG00000148400	NOTCH1
ENSG00000148408.14	ENSG00000148408	CACNA1B
ENSG00000148411.8	ENSG00000148411	NACC2
ENSG00000148426.13	ENSG00000148426	PROSER2
ENSG00000148429.15	ENSG00000148429	USP6NL
ENSG00000148444.16	ENSG00000148444	COMMD3
ENSG00000148450.13	ENSG00000148450	MSRB2
ENSG00000148459.16	ENSG00000148459	PDSS1
ENSG00000148468.17	ENSG00000148468	FAM171A1
ENSG00000148481.14	ENSG00000148481	MINDY3
ENSG00000148482.12	ENSG00000148482	SLC39A12
ENSG00000148483.9	ENSG00000148483	TMEM236
ENSG00000148484.18	ENSG00000148484	RSU1
ENSG00000148488.17	ENSG00000148488	ST8SIA6
ENSG00000148498.17	ENSG00000148498	PARD3
ENSG00000148513.20	ENSG00000148513	ANKRD30A
ENSG00000148516.23	ENSG00000148516	ZEB1
ENSG00000148541.13	ENSG00000148541	FAM13C
ENSG00000148572.16	ENSG00000148572	NRBF2
ENSG00000148600.15	ENSG00000148600	CDHR1
ENSG00000148602.6	ENSG00000148602	LRIT1
ENSG00000148604.15	ENSG00000148604	RGR
ENSG00000148606.15	ENSG00000148606	POLR3A
ENSG00000148634.16	ENSG00000148634	HERC4
ENSG00000148655.15	ENSG00000148655	LRMDA
ENSG00000148660.22	ENSG00000148660	CAMK2G
ENSG00000148671.14	ENSG00000148671	ADIRF
ENSG00000148672.10	ENSG00000148672	GLUD1
ENSG00000148677.7	ENSG00000148677	ANKRD1
ENSG00000148680.16	ENSG00000148680	HTR7
ENSG00000148688.14	ENSG00000148688	RPP30
ENSG00000148690.12	ENSG00000148690	FRA10AC1
ENSG00000148700.15	ENSG00000148700	ADD3
ENSG00000148702.15	ENSG00000148702	HABP2
ENSG00000148704.13	ENSG00000148704	VAX1
ENSG00000148719.16	ENSG00000148719	DNAJB12
ENSG00000148730.7	ENSG00000148730	EIF4EBP2
ENSG00000148734.8	ENSG00000148734	NPFFR1
ENSG00000148735.16	ENSG00000148735	PLEKHS1
ENSG00000148737.18	ENSG00000148737	TCF7L2
ENSG00000148773.14	ENSG00000148773	MKI67
ENSG00000148795.7	ENSG00000148795	CYP17A1
ENSG00000148798.11	ENSG00000148798	INA
ENSG00000148803.12	ENSG00000148803	FUOM
ENSG00000148814.18	ENSG00000148814	LRRC27
ENSG00000148824.19	ENSG00000148824	MTG1
ENSG00000148826.9	ENSG00000148826	NKX6-2
ENSG00000148832.16	ENSG00000148832	PAOX
ENSG00000148834.13	ENSG00000148834	GSTO1
ENSG00000148835.12	ENSG00000148835	TAF5
ENSG00000148840.11	ENSG00000148840	PPRC1
ENSG00000148841.17	ENSG00000148841	ITPRIP
ENSG00000148842.18	ENSG00000148842	CNNM2
ENSG00000148843.15	ENSG00000148843	PDCD11
ENSG00000148848.15	ENSG00000148848	ADAM12
ENSG00000148908.15	ENSG00000148908	RGS10
ENSG00000148925.11	ENSG00000148925	BTBD10
ENSG00000148926.10	ENSG00000148926	ADM
ENSG00000148935.12	ENSG00000148935	GAS2
ENSG00000148942.15	ENSG00000148942	SLC5A12
ENSG00000148943.12	ENSG00000148943	LIN7C
ENSG00000148948.8	ENSG00000148948	LRRC4C
ENSG00000148950.11	ENSG00000148950	IMMP1L
ENSG00000148965.10	ENSG00000148965	SAA4
ENSG00000148985.20	ENSG00000148985	PGAP2
ENSG00000149016.16	ENSG00000149016	TUT1
ENSG00000149021.7	ENSG00000149021	SCGB1A1
ENSG00000149043.17	ENSG00000149043	SYT8
ENSG00000149050.10	ENSG00000149050	ZNF214
ENSG00000149054.16	ENSG00000149054	ZNF215
ENSG00000149084.13	ENSG00000149084	HSD17B12
ENSG00000149089.13	ENSG00000149089	APIP
ENSG00000149090.13	ENSG00000149090	PAMR1
ENSG00000149091.15	ENSG00000149091	DGKZ
ENSG00000149100.13	ENSG00000149100	EIF3M
ENSG00000149115.14	ENSG00000149115	TNKS1BP1
ENSG00000149124.11	ENSG00000149124	GLYAT
ENSG00000149131.17	ENSG00000149131	SERPING1
ENSG00000149133.1	ENSG00000149133	OR5F1
ENSG00000149136.9	ENSG00000149136	SSRP1
ENSG00000149150.9	ENSG00000149150	SLC43A1
ENSG00000149177.15	ENSG00000149177	PTPRJ
ENSG00000149179.14	ENSG00000149179	CSTPP1
ENSG00000149182.15	ENSG00000149182	ARFGAP2
ENSG00000149187.19	ENSG00000149187	CELF1
ENSG00000149196.17	ENSG00000149196	HIKESHI
ENSG00000149201.10	ENSG00000149201	CCDC81
ENSG00000149212.12	ENSG00000149212	SESN3
ENSG00000149218.5	ENSG00000149218	ENDOD1
ENSG00000149231.16	ENSG00000149231	CCDC82
ENSG00000149243.17	ENSG00000149243	KLHL35
ENSG00000149256.16	ENSG00000149256	TENM4
ENSG00000149257.16	ENSG00000149257	SERPINH1
ENSG00000149260.18	ENSG00000149260	CAPN5
ENSG00000149262.19	ENSG00000149262	INTS4
ENSG00000149269.10	ENSG00000149269	PAK1
ENSG00000149273.15	ENSG00000149273	RPS3
ENSG00000149289.11	ENSG00000149289	ZC3H12C
ENSG00000149292.17	ENSG00000149292	TTC12
ENSG00000149294.17	ENSG00000149294	NCAM1
ENSG00000149295.14	ENSG00000149295	DRD2
ENSG00000149300.10	ENSG00000149300	C11orf52
ENSG00000149305.8	ENSG00000149305	HTR3B
ENSG00000149308.17	ENSG00000149308	NPAT
ENSG00000149311.20	ENSG00000149311	ATM
ENSG00000149313.11	ENSG00000149313	AASDHPPT
ENSG00000149328.15	ENSG00000149328	GLB1L2
ENSG00000149357.10	ENSG00000149357	LAMTOR1
ENSG00000149380.12	ENSG00000149380	P4HA3
ENSG00000149403.13	ENSG00000149403	GRIK4
ENSG00000149418.11	ENSG00000149418	ST14
ENSG00000149428.21	ENSG00000149428	HYOU1
ENSG00000149452.16	ENSG00000149452	SLC22A8
ENSG00000149476.16	ENSG00000149476	TKFC
ENSG00000149480.7	ENSG00000149480	MTA2
ENSG00000149483.13	ENSG00000149483	TMEM138
ENSG00000149485.19	ENSG00000149485	FADS1
ENSG00000149489.9	ENSG00000149489	ROM1
ENSG00000149499.12	ENSG00000149499	EML3
ENSG00000149503.13	ENSG00000149503	INCENP
ENSG00000149506.12	ENSG00000149506	ZP1
ENSG00000149507.7	ENSG00000149507	OOSP2
ENSG00000149516.14	ENSG00000149516	MS4A3
ENSG00000149532.16	ENSG00000149532	CPSF7
ENSG00000149534.9	ENSG00000149534	MS4A2
ENSG00000149541.10	ENSG00000149541	B3GAT3
ENSG00000149547.15	ENSG00000149547	EI24
ENSG00000149548.15	ENSG00000149548	CCDC15
ENSG00000149554.14	ENSG00000149554	CHEK1
ENSG00000149557.14	ENSG00000149557	FEZ1
ENSG00000149564.12	ENSG00000149564	ESAM
ENSG00000149571.12	ENSG00000149571	KIRREL3
ENSG00000149573.9	ENSG00000149573	MPZL2
ENSG00000149575.9	ENSG00000149575	SCN2B
ENSG00000149577.16	ENSG00000149577	SIDT2
ENSG00000149582.16	ENSG00000149582	TMEM25
ENSG00000149591.17	ENSG00000149591	TAGLN
ENSG00000149716.13	ENSG00000149716	LTO1
ENSG00000149735.7	ENSG00000149735	GPHA2
ENSG00000149742.10	ENSG00000149742	SLC22A9
ENSG00000149743.14	ENSG00000149743	TRPT1
ENSG00000149761.9	ENSG00000149761	NUDT22
ENSG00000149781.14	ENSG00000149781	FERMT3
ENSG00000149782.13	ENSG00000149782	PLCB3
ENSG00000149792.9	ENSG00000149792	MRPL49
ENSG00000149798.5	ENSG00000149798	CDC42EP2
ENSG00000149806.11	ENSG00000149806	FAU
ENSG00000149809.17	ENSG00000149809	TM7SF2
ENSG00000149823.9	ENSG00000149823	VPS51
ENSG00000149968.12	ENSG00000149968	MMP3
ENSG00000149972.12	ENSG00000149972	CNTN5
ENSG00000150045.12	ENSG00000150045	KLRF1
ENSG00000150048.10	ENSG00000150048	CLEC1A
ENSG00000150051.14	ENSG00000150051	MKX
ENSG00000150054.19	ENSG00000150054	MPP7
ENSG00000150093.20	ENSG00000150093	ITGB1
ENSG00000150201.15	ENSG00000150201	FXYD4
ENSG00000150244.12	ENSG00000150244	TRIM48
ENSG00000150261.5	ENSG00000150261	OR8K1
ENSG00000150269.1	ENSG00000150269	OR5M9
ENSG00000150275.20	ENSG00000150275	PCDH15
